id,developer_name,country_code,developer_phone,category
101,Karan Rathi,91,7045706453,A
102,Aditi Kapoor Developers,91,9870003917,B
103,Akash Rao Developers,91,9870007834,C
104,Anaya Agarwal Developers,91,9870011751,A
105,Arjun Kapoor Developers,91,9870015668,B
106,Diya Rao Developers,91,9870019585,C
107,Ishaan Agarwal Developers,91,9870023502,A
108,Kabir Kapoor Developers,91,9870027419,B
109,Meera Rao Developers,91,9870031336,C
110,Naina Agarwal Developers,91,9870035253,A
111,Rohan Kapoor Developers,91,9870039170,B
112,Saanvi Rao Developers,91,9870043087,C
113,Tara Agarwal Developers,91,9870047004,A
114,Vihaan Kapoor Developers,91,9870050921,B
115,Zoya Rao Developers,91,9870054838,C
116,Aarav Agarwal Developers,91,9870058755,A
117,Aditi Kapoor Developers,91,9870062672,B
118,Akash Rao Developers,91,9870066589,C
119,Anaya Agarwal Developers,91,9870070506,A
120,Arjun Kapoor Developers,91,9870074423,B
121,Diya Rao Developers,91,9870078340,C
122,Ishaan Agarwal Developers,91,9870082257,A
123,Kabir Kapoor Developers,91,9870086174,B
124,Meera Rao Developers,91,9870090091,C
125,Naina Agarwal Developers,91,9870094008,A
126,Rohan Kapoor Developers,91,9870097925,B
127,Saanvi Rao Developers,91,9870101842,C
128,Tara Agarwal Developers,91,9870105759,A
129,Vihaan Kapoor Developers,91,9870109676,B
130,Zoya Rao Developers,91,9870113593,C
131,Aarav Agarwal Developers,91,9870117510,A
132,Aditi Kapoor Developers,91,9870121427,B
133,Akash Rao Developers,91,9870125344,C
134,Anaya Agarwal Developers,91,9870129261,A
135,Arjun Kapoor Developers,91,9870133178,B
136,Diya Rao Developers,91,9870137095,C
137,Ishaan Agarwal Developers,91,9870141012,A
138,Kabir Kapoor Developers,91,9870144929,B
139,Meera Rao Developers,91,9870148846,C
140,Naina Agarwal Developers,91,9870152763,A
141,Rohan Kapoor Developers,91,9870156680,B
142,Saanvi Rao Developers,91,9870160597,C
143,Tara Agarwal Developers,91,9870164514,A
144,Vihaan Kapoor Developers,91,9870168431,B
145,Zoya Rao Developers,91,9870172348,C
146,Aarav Agarwal Developers,91,9870176265,A
147,Aditi Kapoor Developers,91,9870180182,B
148,Akash Rao Developers,91,9870184099,C
149,Anaya Agarwal Developers,91,9870188016,A
150,Arjun Kapoor Developers,91,9870191933,B
151,Diya Rao Developers,91,9870195850,C
152,Ishaan Agarwal Developers,91,9870199767,A
153,Kabir Kapoor Developers,91,9870203684,B
154,Meera Rao Developers,91,9870207601,C
155,Naina Agarwal Developers,91,9870211518,A
156,Rohan Kapoor Developers,91,9870215435,B
157,Saanvi Rao Developers,91,9870219352,C
158,Tara Agarwal Developers,91,9870223269,A
159,Vihaan Kapoor Developers,91,9870227186,B
160,Zoya Rao Developers,91,9870231103,C
161,Aarav Agarwal Developers,91,9870235020,A
162,Aditi Kapoor Developers,91,9870238937,B
163,Akash Rao Developers,91,9870242854,C
164,Anaya Agarwal Developers,91,9870246771,A
165,Arjun Kapoor Developers,91,9870250688,B
166,Diya Rao Developers,91,9870254605,C
167,Ishaan Agarwal Developers,91,9870258522,A
168,Kabir Kapoor Developers,91,9870262439,B
169,Meera Rao Developers,91,9870266356,C
170,Naina Agarwal Developers,91,9870270273,A
171,Rohan Kapoor Developers,91,9870274190,B
172,Saanvi Rao Developers,91,9870278107,C
173,Tara Agarwal Developers,91,9870282024,A
174,Vihaan Kapoor Developers,91,9870285941,B
175,Zoya Rao Developers,91,9870289858,C
176,Aarav Agarwal Developers,91,9870293775,A
177,Aditi Kapoor Developers,91,9870297692,B
178,Akash Rao Developers,91,9870301609,C
179,Anaya Agarwal Developers,91,9870305526,A
180,Arjun Kapoor Developers,91,9870309443,B
181,Diya Rao Developers,91,9870313360,C
182,Ishaan Agarwal Developers,91,9870317277,A
183,Kabir Kapoor Developers,91,9870321194,B
184,Meera Rao Developers,91,9870325111,C
185,Naina Agarwal Developers,91,9870329028,A
186,Rohan Kapoor Developers,91,9870332945,B
187,Saanvi Rao Developers,91,9870336862,C
188,Tara Agarwal Developers,91,9870340779,A
189,Vihaan Kapoor Developers,91,9870344696,B
190,Zoya Rao Developers,91,9870348613,C
191,Aarav Agarwal Developers,91,9870352530,A
192,Aditi Kapoor Developers,91,9870356447,B
193,Akash Rao Developers,91,9870360364,C
194,Anaya Agarwal Developers,91,9870364281,A
195,Arjun Kapoor Developers,91,9870368198,B
196,Diya Rao Developers,91,9870372115,C
197,Ishaan Agarwal Developers,91,9870376032,A
198,Kabir Kapoor Developers,91,9870379949,B
199,Meera Rao Developers,91,9870383866,C
200,Naina Agarwal Developers,91,9870387783,A
