id,name,status,project_id,objection
1001,Aarav Agarwal 1,Failed,101,Budget
1002,Aditi Desai 1,Booking Done,102,
1003,Akash Khan 1,Failed,103,Budget
1004,Anaya Patel 1,Interested,104,
1005,Arjun Singh 1,Final Negotiation,105,
1006,Diya Agarwal 1,Failed,101,Timing
1007,Ishaan Desai 1,Visit Done,102,
1008,Kabir Khan 1,Failed,103,Budget
1009,Meera Patel 1,Claimed,104,
1010,Naina Singh 1,Booking Done,105,
1011,Rohan Agarwal 1,In CC,171,
1012,Saanvi Desai 1,Interested,178,
1013,Tara Khan 1,Meeting Done,185,
1014,Vihaan Patel 1,Visit Done,192,
1015,Zoya Singh 1,Final Negotiation,199,
1016,Aarav Agarwal 2,Booking Done,106,
1017,Aditi Desai 2,Failed,113,Budget
1018,Akash Khan 2,Junk,120,
1019,Anaya Patel 2,Claimed,127,
1020,Arjun Singh 2,In CC,134,
1021,Diya Agarwal 2,Interested,141,
1022,Ishaan Desai 2,Meeting Done,148,
1023,Kabir Khan 2,Visit Done,155,
1024,Meera Patel 2,Final Negotiation,162,
1025,Naina Singh 2,Booking Done,169,
1026,Rohan Agarwal 2,Failed,176,Budget
1027,Saanvi Desai 2,Junk,183,
1028,Tara Khan 2,Claimed,190,
1029,Vihaan Patel 2,In CC,197,
1030,Zoya Singh 2,Interested,104,
1031,Aarav Agarwal 3,Meeting Done,111,
1032,Aditi Desai 3,Visit Done,118,
1033,Akash Khan 3,Final Negotiation,125,
1034,Anaya Patel 3,Booking Done,132,
1035,Arjun Singh 3,Failed,139,Timing
1036,Diya Agarwal 3,Junk,146,
1037,Ishaan Desai 3,Claimed,153,
1038,Kabir Khan 3,In CC,160,
1039,Meera Patel 3,Interested,167,
1040,Naina Singh 3,Meeting Done,174,
1041,Rohan Agarwal 3,Visit Done,181,
1042,Saanvi Desai 3,Final Negotiation,188,
1043,Tara Khan 3,Booking Done,195,
1044,Vihaan Patel 3,Failed,102,Loan approval
1045,Zoya Singh 3,Junk,109,
1046,Aarav Agarwal 4,Claimed,116,
1047,Aditi Desai 4,In CC,123,
1048,Akash Khan 4,Interested,130,
1049,Anaya Patel 4,Meeting Done,137,
1050,Arjun Singh 4,Visit Done,144,
1051,Diya Agarwal 4,Final Negotiation,151,
1052,Ishaan Desai 4,Booking Done,158,
1053,Kabir Khan 4,Failed,165,Location
1054,Meera Patel 4,Junk,172,
1055,Naina Singh 4,Claimed,179,
1056,Rohan Agarwal 4,In CC,186,
1057,Saanvi Desai 4,Interested,193,
1058,Tara Khan 4,Meeting Done,200,
1059,Vihaan Patel 4,Visit Done,107,
1060,Zoya Singh 4,Final Negotiation,114,
1061,Aarav Agarwal 5,Booking Done,121,
1062,Aditi Desai 5,Failed,128,Possession timeline
1063,Akash Khan 5,Junk,135,
1064,Anaya Patel 5,Claimed,142,
1065,Arjun Singh 5,In CC,149,
1066,Diya Agarwal 5,Interested,156,
1067,Ishaan Desai 5,Meeting Done,163,
1068,Kabir Khan 5,Visit Done,170,
1069,Meera Patel 5,Final Negotiation,177,
1070,Naina Singh 5,Booking Done,184,
1071,Rohan Agarwal 5,Failed,191,Price comparison
1072,Saanvi Desai 5,Junk,198,
1073,Tara Khan 5,Claimed,105,
1074,Vihaan Patel 5,In CC,112,
1075,Zoya Singh 5,Interested,119,
1076,Aarav Agarwal 6,Meeting Done,126,
1077,Aditi Desai 6,Visit Done,133,
1078,Akash Khan 6,Final Negotiation,140,
1079,Anaya Patel 6,Booking Done,147,
1080,Arjun Singh 6,Failed,154,Budget
1081,Diya Agarwal 6,Junk,161,
1082,Ishaan Desai 6,Claimed,168,
1083,Kabir Khan 6,In CC,175,
1084,Meera Patel 6,Interested,182,
1085,Naina Singh 6,Meeting Done,189,
1086,Rohan Agarwal 6,Visit Done,196,
1087,Saanvi Desai 6,Final Negotiation,103,
1088,Tara Khan 6,Booking Done,110,
1089,Vihaan Patel 6,Failed,117,Budget
1090,Zoya Singh 6,Junk,124,
1091,Aarav Agarwal 7,Claimed,131,
1092,Aditi Desai 7,In CC,138,
1093,Akash Khan 7,Interested,145,
1094,Anaya Patel 7,Meeting Done,152,
1095,Arjun Singh 7,Visit Done,159,
1096,Diya Agarwal 7,Final Negotiation,166,
1097,Ishaan Desai 7,Booking Done,173,
1098,Kabir Khan 7,Failed,180,Budget
1099,Meera Patel 7,Junk,187,
1100,Naina Singh 7,Claimed,194,
1101,Rohan Agarwal 7,In CC,101,
1102,Saanvi Desai 7,Interested,108,
1103,Tara Khan 7,Meeting Done,115,
1104,Vihaan Patel 7,Visit Done,122,
1105,Zoya Singh 7,Final Negotiation,129,
1106,Aarav Agarwal 8,Booking Done,136,
1107,Aditi Desai 8,Failed,143,Timing
1108,Akash Khan 8,Junk,150,
1109,Anaya Patel 8,Claimed,157,
1110,Arjun Singh 8,In CC,164,
1111,Diya Agarwal 8,Interested,171,
1112,Ishaan Desai 8,Meeting Done,178,
1113,Kabir Khan 8,Visit Done,185,
1114,Meera Patel 8,Final Negotiation,192,
1115,Naina Singh 8,Booking Done,199,
1116,Rohan Agarwal 8,Failed,106,Loan approval
1117,Saanvi Desai 8,Junk,113,
1118,Tara Khan 8,Claimed,120,
1119,Vihaan Patel 8,In CC,127,
1120,Zoya Singh 8,Interested,134,
1121,Aarav Agarwal 9,Meeting Done,141,
1122,Aditi Desai 9,Visit Done,148,
1123,Akash Khan 9,Final Negotiation,155,
1124,Anaya Patel 9,Booking Done,162,
1125,Arjun Singh 9,Failed,169,Location
1126,Diya Agarwal 9,Junk,176,
1127,Ishaan Desai 9,Claimed,183,
1128,Kabir Khan 9,In CC,190,
1129,Meera Patel 9,Interested,197,
1130,Naina Singh 9,Meeting Done,104,
1131,Rohan Agarwal 9,Visit Done,111,
1132,Saanvi Desai 9,Final Negotiation,118,
1133,Tara Khan 9,Booking Done,125,
1134,Vihaan Patel 9,Failed,132,Possession timeline
1135,Zoya Singh 9,Junk,139,
1136,Aarav Agarwal 10,Claimed,146,
1137,Aditi Desai 10,In CC,153,
1138,Akash Khan 10,Interested,160,
1139,Anaya Patel 10,Meeting Done,167,
1140,Arjun Singh 10,Visit Done,174,
1141,Diya Agarwal 10,Final Negotiation,181,
1142,Ishaan Desai 10,Booking Done,188,
1143,Kabir Khan 10,Failed,195,Price comparison
1144,Meera Patel 10,Junk,102,
1145,Naina Singh 10,Claimed,109,
1146,Rohan Agarwal 10,In CC,116,
1147,Saanvi Desai 10,Interested,123,
1148,Tara Khan 10,Meeting Done,130,
1149,Vihaan Patel 10,Visit Done,137,
1150,Zoya Singh 10,Final Negotiation,144,
1151,Aarav Agarwal 11,Booking Done,151,
1152,Aditi Desai 11,Failed,158,Budget
1153,Akash Khan 11,Junk,165,
1154,Anaya Patel 11,Claimed,172,
1155,Arjun Singh 11,In CC,179,
1156,Diya Agarwal 11,Interested,186,
1157,Ishaan Desai 11,Meeting Done,193,
1158,Kabir Khan 11,Visit Done,200,
1159,Meera Patel 11,Final Negotiation,107,
1160,Naina Singh 11,Booking Done,114,
1161,Rohan Agarwal 11,Failed,121,Budget
1162,Saanvi Desai 11,Junk,128,
1163,Tara Khan 11,Claimed,135,
1164,Vihaan Patel 11,In CC,142,
1165,Zoya Singh 11,Interested,149,
1166,Aarav Agarwal 12,Meeting Done,156,
1167,Aditi Desai 12,Visit Done,163,
1168,Akash Khan 12,Final Negotiation,170,
1169,Anaya Patel 12,Booking Done,177,
1170,Arjun Singh 12,Failed,184,Budget
1171,Diya Agarwal 12,Junk,191,
1172,Ishaan Desai 12,Claimed,198,
1173,Kabir Khan 12,In CC,105,
1174,Meera Patel 12,Interested,112,
1175,Naina Singh 12,Meeting Done,119,
1176,Rohan Agarwal 12,Visit Done,126,
1177,Saanvi Desai 12,Final Negotiation,133,
1178,Tara Khan 12,Booking Done,140,
1179,Vihaan Patel 12,Failed,147,Timing
1180,Zoya Singh 12,Junk,154,
1181,Aarav Agarwal 13,Claimed,161,
1182,Aditi Desai 13,In CC,168,
1183,Akash Khan 13,Interested,175,
1184,Anaya Patel 13,Meeting Done,182,
1185,Arjun Singh 13,Visit Done,189,
1186,Diya Agarwal 13,Final Negotiation,196,
1187,Ishaan Desai 13,Booking Done,103,
1188,Kabir Khan 13,Failed,110,Loan approval
1189,Meera Patel 13,Junk,117,
1190,Naina Singh 13,Claimed,124,
1191,Rohan Agarwal 13,In CC,131,
1192,Saanvi Desai 13,Interested,138,
1193,Tara Khan 13,Meeting Done,145,
1194,Vihaan Patel 13,Visit Done,152,
1195,Zoya Singh 13,Final Negotiation,159,
1196,Aarav Agarwal 14,Booking Done,166,
1197,Aditi Desai 14,Failed,173,Location
1198,Akash Khan 14,Junk,180,
1199,Anaya Patel 14,Claimed,187,
1200,Arjun Singh 14,In CC,194,
1201,Diya Agarwal 14,Interested,101,
1202,Ishaan Desai 14,Meeting Done,108,
1203,Kabir Khan 14,Visit Done,115,
1204,Meera Patel 14,Final Negotiation,122,
1205,Naina Singh 14,Booking Done,129,
1206,Rohan Agarwal 14,Failed,136,Possession timeline
1207,Saanvi Desai 14,Junk,143,
1208,Tara Khan 14,Claimed,150,
1209,Vihaan Patel 14,In CC,157,
1210,Zoya Singh 14,Interested,164,
1211,Aarav Agarwal 15,Meeting Done,171,
1212,Aditi Desai 15,Visit Done,178,
1213,Akash Khan 15,Final Negotiation,185,
1214,Anaya Patel 15,Booking Done,192,
1215,Arjun Singh 15,Failed,199,Price comparison
1216,Diya Agarwal 15,Junk,106,
1217,Ishaan Desai 15,Claimed,113,
1218,Kabir Khan 15,In CC,120,
1219,Meera Patel 15,Interested,127,
1220,Naina Singh 15,Meeting Done,134,
1221,Rohan Agarwal 15,Visit Done,141,
1222,Saanvi Desai 15,Final Negotiation,148,
1223,Tara Khan 15,Booking Done,155,
1224,Vihaan Patel 15,Failed,162,Budget
1225,Zoya Singh 15,Junk,169,
1226,Aarav Agarwal 16,Claimed,176,
1227,Aditi Desai 16,In CC,183,
1228,Akash Khan 16,Interested,190,
1229,Anaya Patel 16,Meeting Done,197,
1230,Arjun Singh 16,Visit Done,104,
1231,Diya Agarwal 16,Final Negotiation,111,
1232,Ishaan Desai 16,Booking Done,118,
1233,Kabir Khan 16,Failed,125,Budget
1234,Meera Patel 16,Junk,132,
1235,Naina Singh 16,Claimed,139,
1236,Rohan Agarwal 16,In CC,146,
1237,Saanvi Desai 16,Interested,153,
1238,Tara Khan 16,Meeting Done,160,
1239,Vihaan Patel 16,Visit Done,167,
1240,Zoya Singh 16,Final Negotiation,174,
1241,Aarav Agarwal 17,Booking Done,181,
1242,Aditi Desai 17,Failed,188,Budget
1243,Akash Khan 17,Junk,195,
1244,Anaya Patel 17,Claimed,102,
1245,Arjun Singh 17,In CC,109,
1246,Diya Agarwal 17,Interested,116,
1247,Ishaan Desai 17,Meeting Done,123,
1248,Kabir Khan 17,Visit Done,130,
1249,Meera Patel 17,Final Negotiation,137,
1250,Naina Singh 17,Booking Done,144,
1251,Rohan Agarwal 17,Failed,151,Timing
1252,Saanvi Desai 17,Junk,158,
1253,Tara Khan 17,Claimed,165,
1254,Vihaan Patel 17,In CC,172,
1255,Zoya Singh 17,Interested,179,
1256,Aarav Agarwal 18,Meeting Done,186,
1257,Aditi Desai 18,Visit Done,193,
1258,Akash Khan 18,Final Negotiation,200,
1259,Anaya Patel 18,Booking Done,107,
1260,Arjun Singh 18,Failed,114,Loan approval
1261,Diya Agarwal 18,Junk,121,
1262,Ishaan Desai 18,Claimed,128,
1263,Kabir Khan 18,In CC,135,
1264,Meera Patel 18,Interested,142,
1265,Naina Singh 18,Meeting Done,149,
1266,Rohan Agarwal 18,Visit Done,156,
1267,Saanvi Desai 18,Final Negotiation,163,
1268,Tara Khan 18,Booking Done,170,
1269,Vihaan Patel 18,Failed,177,Location
1270,Zoya Singh 18,Junk,184,
1271,Aarav Agarwal 19,Claimed,191,
1272,Aditi Desai 19,In CC,198,
1273,Akash Khan 19,Interested,105,
1274,Anaya Patel 19,Meeting Done,112,
1275,Arjun Singh 19,Visit Done,119,
1276,Diya Agarwal 19,Final Negotiation,126,
1277,Ishaan Desai 19,Booking Done,133,
1278,Kabir Khan 19,Failed,140,Possession timeline
1279,Meera Patel 19,Junk,147,
1280,Naina Singh 19,Claimed,154,
1281,Rohan Agarwal 19,In CC,161,
1282,Saanvi Desai 19,Interested,168,
1283,Tara Khan 19,Meeting Done,175,
1284,Vihaan Patel 19,Visit Done,182,
1285,Zoya Singh 19,Final Negotiation,189,
1286,Aarav Agarwal 20,Booking Done,196,
1287,Aditi Desai 20,Failed,103,Price comparison
1288,Akash Khan 20,Junk,110,
1289,Anaya Patel 20,Claimed,117,
1290,Arjun Singh 20,In CC,124,
1291,Diya Agarwal 20,Interested,131,
1292,Ishaan Desai 20,Meeting Done,138,
1293,Kabir Khan 20,Visit Done,145,
